epoch,train_loss,val_top1,val_top5
136,0.03078860882997513,64.08,84.31
137,0.030616462688446044,64.27,84.51
138,0.030575237362384797,64.33,84.35
139,0.030511671897172927,64.26,84.27
140,0.02992865728855133,64.22,84.31
141,0.030440637452602386,64.18,84.42
142,0.02988267963171005,64.06,84.35
143,0.03021971276283264,64.42,84.4
144,0.030500652067661286,64.25,84.27
145,0.030025841794013977,64.27,84.32
146,0.029881156260967254,64.11,84.21
147,0.029861599180698396,64.01,84.19
148,0.029847246457338335,64.11,84.38
149,0.030212450561523437,64.05,84.35
,,64.42,
